question,votes,tags
How to determine the content size of a UIWebView?,116,"ios, iphone, cocoa-touch, uiwebview, uikit"
UILabel with text of two different colors,116,"ios, objective-c, swift, uilabel, textcolor"
"If no Table View results, display “No Results” on screen",116,"ios, objective-c, uitableview, parse-platform"
Adding rounded corner and drop shadow to UICollectionViewCell,116,"iphone, ios, uicollectionviewcell"
Copy paste text into iOS simulator,116,"ios, clipboard"
How to add a button to UINavigationBar?,116,"ios, iphone, xcode, interface-builder, uinavigationbar"
How to get all enum values as an array,116,"ios, arrays, swift, enums"
swift convert Range<Int> to [Int],116,"ios, arrays, swift, int, range"
CALayer with transparent hole in it,116,"ios, objective-c, calayer, quartz-core"
UIActionSheet cancel button strange behaviour,116,"ios, objective-c, iphone, cocoa-touch, uiactionsheet"
iOS Equivalent For Android Shared Preferences,116,"ios, sharedpreferences"
Allowing interaction with a UIView under another UIView,116,"objective-c, ios, cocoa-touch"
Xcode without Storyboard and ARC,116,"ios, iphone, xcode, uistoryboard"
Declaration/definition of variables locations in ObjectiveC?,116,"iphone, objective-c, ios, ios5"
Invalid Swift Support - Files don’t match,116,"ios, xcode, swift"
Does Swift support reflection?,116,"ios, reflection, swift"
Xcode 6 with Swift super slow typing and autocompletion,116,"ios, xcode, autocomplete, swift, xcode6"
What's the difference between “Architectures” and “Valid Architectures” in Xcode Build Settings?,116,"ios, xcode, xcode4.5"
CredStore Perform Query error,116,"ios, xcode9"
How can I use UIColorFromRGB in Swift?,115,"ios, swift"
Swift - How to hide back button in navigation item?,115,"ios, swift"
Map array of objects to Dictionary in Swift,115,"ios, arrays, swift, dictionary"
Xcode 8 Beta - Convert to Current Swift Syntax Failed: Could not find test host,115,"ios, xcode, xcode8"
How to hide keyboard when using SwiftUI?,115,"ios, swift, keyboard, swiftui, textfield"
Adjust alpha of UIColor,115,"ios, objective-c, alpha, uicolor"
Replacement for stringByAddingPercentEscapesUsingEncoding in ios9?,115,"ios, objective-c, url, encoding, deprecated"
Aligning UIToolBar items,115,"ios, cocoa-touch, uitoolbar"
symbol(s) not found for architecture i386,115,"objective-c, ios, xcode4"
Ask for User Permission to Receive UILocalNotifications in iOS 8,115,"ios, cocoa-touch, notifications, ios8, uilocalnotification"
Can you build dynamic libraries for iOS and load them at runtime?,115,"ios, xcode, dylib"
“Auto Layout still required after executing -layoutSubviews” with UITableViewCell subclass,115,"objective-c, ios, xcode4.5, autolayout"
Specifying one Dimension of Cells in UICollectionView using Auto Layout,115,"ios, objective-c, uicollectionview, autolayout"
"AppStore - App status is ready for sale, but not in app store",115,"ios, app-store, app-store-connect"
NSAttributedString add text alignment,114,"ios, objective-c, nsattributedstring, core-text"
How to flip UIImage horizontally?,114,"ios, uiimage, uiimageorientation"
Swift add icon/image in UITextField,114,"ios, image, swift, login, uitextfield"
How do I get hour and minutes from NSDate?,114,"ios, objective-c, nsdate, hour"
How to easily resize/optimize an image size with iOS?,114,"ios, objective-c, image, cocoa-touch, resize"
Understanding ibeacon distancing,114,"ios, objective-c, bluetooth, bluetooth-lowenergy, ibeacon"
How do I scroll the UIScrollView when the keyboard appears?,114,"ios, objective-c, iphone, cocoa-touch, scrollview"
Xcode - There are no dSYMs available for download,114,"ios, xcode, xcode7, dsym"
How to open maps App programmatically with coordinates in swift?,114,"ios, swift, apple-maps"
Do remote push notifications require to add UIBackgroundModes in Info.plist?,114,"ios, info-plist, uibackgroundmode"
Duplicate Symbols for Architecture arm64,114,"ios, objective-c, xcode, linker-errors"
How to hide first section header in UITableView (grouped style),114,"ios, uitableview, ios7"
How to create P12 certificate for iOS distribution,114,"ios, iphone, xcode, certificate, p12"
How to set UICollectionViewDelegateFlowLayout?,114,"ios, uicollectionview, flowlayout"
Expand/collapse section in UITableView in iOS,114,"ios, iphone, uitableview, object"
Navigation bar appear over the views with new iOS7 SDK,114,"iphone, ios, objective-c, ipad, ios7"
Check if UIColor is dark or bright?,114,"ios, iphone, xcode, colors, uicolor"
"Using Core Data, iCloud and CloudKit for syncing and backup and how it works together",114,"ios, core-data, icloud, cloudkit"
What makes a keychain item unique (in iOS)?,114,"objective-c, ios, macos, keychain"
How to customize the background/border colors of a grouped table view cell?,114,"ios, objective-c, iphone, uitableview, cocoa-touch"
When is it better to use an NSSet over an NSArray?,113,"ios, objective-c, arrays, cocoa, cocoa-touch"
Running CocoaPods on Apple Silicon (M1),113,"ios, macos, flutter, cocoapods, apple-silicon"
NSDate beginning of day and end of day,113,"ios, nsdate, nsdatecomponents"
How do you create a UIImage View Programmatically - Swift,113,"ios, xcode, swift, uiimageview, uiimage"
Autolayout: Add constraint to superview and not Top Layout Guide?,113,"ios, storyboard, autolayout, nslayoutconstraint"
How does a UILabel's minimumScaleFactor work?,113,"ios, objective-c, uilabel"
How to save Array to CoreData?,113,"ios, arrays, swift, core-data, magicalrecord"
How do I make UILabel display outlined text?,113,"ios, objective-c, iphone, cocoa-touch, core-graphics"
Delete specified file from document directory,113,"ios, objective-c, xcode, nsdocumentdirectory"
iOS 7 parallax effect in my view controller,113,"ios, objective-c, swift, parallax"
How to re-sign the ipa file?,113,"ios, ios-provisioning, ipa"
How to check if UILabel is truncated?,113,"ios, objective-c, iphone, uilabel, truncate"
How do I save a UIImage to a file?,113,"iphone, objective-c, ios, uiimage"
What does “% is unavailable: Use truncatingRemainder instead” mean?,113,"ios, swift, swift3, modulus"
Protocol can only be used as a generic constraint because it has Self or associatedType requirements,113,"ios, swift, generics, swift2, swift-protocols"
Where are ${EXECUTABLE_NAME} and ${PRODUCT_NAME} defined,113,"iphone, objective-c, ios, xcode, plist"
Swift - which types to use? NSString or String,113,"ios, objective-c, string, macos, swift"
iOS / Android cross platform development [closed],113,"android, ios, cross-platform"
What is the difference between libsqlite3.dylib and libsqlite3.0.dylib?,113,"ios, sqlite"
iOS 7 style Blur view,113,"ios, objective-c, core-graphics"
Status bar could not find cached time string image. Rendering in-process,113,"ios, swift4.1, xcode9.3"
Xcode 6.4 The Application You Have Selected Does Not Exist,113,"ios, xcode, app-store-connect"
UINavigationBar Hide back Button Text,112,"ios, uinavigationcontroller"
Making text bold using attributed string in swift,112,"ios, swift, nsmutableattributedstring"
UICollectionView's cellForItemAtIndexPath is not being called,112,"ios, objective-c, uicollectionview"
How to get the indexpath.row when an element is activated?,112,"ios, swift, iphone, uitableview"
How do I create a multiline TextField in SwiftUI?,112,"ios, swiftui, textview, textfield"
Xcode stops working after set “xcode-select -switch”,112,"ios, xcode, macos"
How to load a xib file in a UIView,112,"ios, objective-c, uiview, xib"
Obtain bundle identifier programmatically in Swift?,112,"ios, swift, ios8, bundle-identifier"
Interface Builder: What are the UIView's Layout iOS 6/7 Deltas for?,112,"ios, layout, uiview, xcode5"
SourceKitService Consumes CPU and Grinds Xcode to a Halt,112,"ios, iphone, swift, xcode, sourcekit"
How to disable UITextField editing but still accept touch?,112,"ios, uitextfield, uipickerview"
What does the “automatically adjusts font requires using a dynamic type text style” warning mean?,112,"ios, swift, storyboard, xcode8"
Remove text from Back button keeping the icon,111,"ios, swift, xcode"
Get current URL of UIWebView,111,"ios, iphone, url, request, uiwebview"
Change color of UISwitch in “off” state,111,"iphone, ios, uiswitch"
How can I convert from degrees to radians?,111,"ios, objective-c, macos, swift, macros"
Left Align Cells in UICollectionView,111,"ios, objective-c, uicollectionview, uicollectionviewlayout"
Where to store global constants in an iOS application?,111,"ios, objective-c, cocoa-touch, constants, global"
Move TextField up when the keyboard has appeared in SwiftUI,111,"ios, swift, swiftui"
"How disable Copy, Cut, Select, Select All in UITextView",111,"ios, objective-c, uitextview"
How do I use Safe Area Layout programmatically?,111,"ios, swift, iphone-x, safearealayoutguide"
Change color of png in buttons - ios,111,"ios, swift"
UIAlertView first deprecated IOS 9,111,"ios, objective-c, uialertview, uialertcontroller"
What values should I use for CFBundleVersion and CFBundleShortVersionString?,111,ios
UIPopovercontroller dealloc reached while popover is still visible,111,"ios, memory-management, uipopovercontroller, automatic-ref-counting"
Xcode Debugger: view value of variable,111,"iphone, objective-c, xcode, debugging, ios"
No identities were available - administrator request,111,"ios, iphone, xcode, certificate"
Using a BOOL property,111,"objective-c, ios, properties"
Enterprise App Update Distribution on iOS 8,111,"ios, xcode, ios8, enterprise-distribution"
What is the best way to check if a UIAlertController is already presenting?,111,"ios, uialertcontroller"
How do I access the host machine itself from the iPhone simulator,111,"ios, iphone, ipad"
iOS app icon with transparent background showing black background on device,111,"ios, background, icons, transparency"
How to remove the Xcode warning Apple Mach-O Linker Warning 'Pointer not aligned at address,111,"ios, xcode, cocoapods, warnings"
Receiving kAUGraphErr_CannotDoInCurrentContext when calling AUGraphStart for playback,111,"ios, audiounit, audiotoolbox"
How can I color a UIImage in Swift?,110,"ios, image, swift, colors, uiimage"
how to change uiviewcontroller title independent of tabbar item title,110,"ios, cocoa-touch, uiviewcontroller, uitabbarcontroller"
How to dismiss keyboard iOS programmatically when pressing return,110,"ios, keyboard, uitextfield"
Xcode Simulator animations extremely slow when played in editor,110,"ios, xcode, ios-simulator, simulator"
"Undocumented NSURLErrorDomain error codes (-1001, -1003 and -1004) using StoreKit",110,"ios, nsurlsession, storekit, nsurlerrordomain"
Adding a simple UIAlertView,110,"ios, objective-c, iphone, cocoa-touch, uialertview"
"Create UIActionSheet 'otherButtons' by passing in array, not varlist",110,"ios, iphone, uialertview, uiactionsheet"
When can I activate/deactivate layout constraints?,110,"ios, swift, uiview, autolayout, nslayoutconstraint"
UITableView with fixed section headers,110,"ios, objective-c, uitableview"
Long press gesture on UICollectionViewCell,110,"ios, objective-c, uicollectionview"
How do I get the day of the week with Foundation?,110,"ios, objective-c, cocoa-touch, nsdate"
How can I get a view's current width and height when using autolayout constraints?,110,"ios, autolayout"
iOS 7 TextKit - How to insert images inline with text?,110,"ios, ios7, textkit"
React Native Responsive Font Size,110,"ios, reactjs, react-native"
Visual List of iOS Fonts?,110,"ios, uifont, typeface"
Changing UIImage color,109,"iphone, objective-c, ios, uiimage, cgcontext"
UICollectionView auto scroll to cell at IndexPath,109,"ios, uicollectionview"
Get position of UIView in respect to its superview's superview,109,"iphone, ios, uiview, uibutton, cgrect"
error: module file's minimum deployment target is ios8.3 v8.3,109,"ios, xcode, swift, xcode6, swift-playground"
iOS 5 Best Practice (Release/retain?),109,"iphone, ios, ios5, memory-management, automatic-ref-counting"
iOS 7 - Status bar overlaps the view,109,"ios, statusbar, ios7"
Programmatically Request Access to Contacts,109,"iphone, objective-c, ios, ios6, contacts"
Development team not showing in Xcode,109,"ios, certificate, app-store-connect, provisioning-profile"
Hidden Features of Xcode 4,109,"cocoa, ios, macos, xcode4, hidden-features"
How do iOS Push Notifications work?,109,"ios, push-notification, apple-push-notifications"
Get notified when UITableView has finished asking for data?,109,"ios, iphone, uitableview"
UIButton won't go to Aspect Fit in iPhone,108,"ios, iphone, uibutton, aspect-fit"
Remove HTML Tags from an NSString on the iPhone,108,"ios, objective-c, iphone, cocoa-touch, nsstring"
What's the best way to add a drop shadow to my UIView,108,"ios, uiview, shadow, cliptobounds"
Swift - How to detect orientation changes,108,"ios, swift"
UIView touch event in controller,108,"ios, swift, uiview, uiviewcontroller"
iOS: Access app-info.plist variables in code,108,"iphone, objective-c, ios, ipad, info.plist"
How can I get the font size and font name of a UILabel?,108,ios
How to make return key on iPhone make keyboard disappear?,108,"ios, iphone, uitextfield, uikeyboard"
change text of button and disable button in iOS,108,"ios, button, text"
How to set the width of a cell in a UITableView in grouped style,108,"ios, iphone, uitableview, width"
How to obtain Certificate Signing Request,108,"ios, xcode, certificate, keychain, certificate-signing-request"
WKWebView equivalent for UIWebView's scalesPageToFit,108,"ios, wkwebview"
AVAudioPlayer throws breakpoint in debug mode,108,"ios, objective-c, iphone, cocoa-touch, avaudioplayer"
iOS Launch screen in React Native,108,"ios, xcode, react-native, asset-catalog"
Can I install the “app store” in an IOS simulator?,108,"ios, app-store, simulator"
Behaviour for significant change location API when terminated/suspended?,108,"ios, core-location, cllocationmanager, uiapplicationdelegate, ios-app-suspended-state"
Bundle ID Suffix? What is it?,108,"iphone, cocoa-touch, app-store-connect, ios"
How does View Controller Containment work in iOS 5?,108,"ios, uiviewcontroller, ios5"
"Xcode 10b5 - duplicate symbol linker error, can't compile with Crashlytics",108,"ios, xcode, crashlytics, google-fabric, xcode10"
Check play state of AVPlayer,107,"ios, objective-c, iphone, avfoundation, avplayer"
iPhone : How to detect the end of slider drag?,107,"ios, iphone, ios5, ios4, uislider"
UICollectionView Set number of columns,107,"ios, objective-c, xcode, uicollectionview, uicollectionviewcell"
Use Storyboard to mask UIView and give rounded corners?,107,"ios, xcode, swift, storyboard, autolayout"
“From View Controller” disappears using UIViewControllerContextTransitioning,107,"ios, iphone, objective-c, uiview, transition"
Getting the Value of a UITextField as keystrokes are entered?,107,"ios, objective-c, cocoa-touch, uitextfield"
Can we open pdf file using UIWebView on iOS?,107,"ios, pdf, uiwebview"
What is the “right” way to handle orientation changes in iOS 8?,107,"ios, ios8, orientation, uiinterfaceorientation, landscape-portrait"
iOS Detect 3G or WiFi,107,"ios, objective-c, wifi, reachability, 3g"
How do you add an action to a button programmatically in xcode,107,"ios, iphone, objective-c, uibutton, programmatically-created"
Check for internet connection availability in Swift,107,"ios, swift, network-connection"
iOS - How to set a UISwitch programmatically,107,"objective-c, ios"
Programmatically retrieve memory usage on iPhone,107,"ios, objective-c, iphone, cocoa-touch, memory"
"iOS 10 - Changes in asking permissions of Camera, microphone and Photo Library causing application to crash",107,"ios, plist, ios10, user-permissions"
How to check what a String starts with (prefix) or ends with (suffix) in Swift,107,"ios, string, swift"
Proper use of beginBackgroundTaskWithExpirationHandler,107,"ios, objective-c, network-programming, multitasking, background-thread"
How do I create a new Swift project without using Storyboards?,107,"ios, swift, xcode6"
Xcode Error: “The app ID cannot be registered to your development team.”,107,"ios, xcode"
What is Prefix.pch file in Xcode?,107,"ios, xcode"
How to export “fat” Cocoa Touch Framework (for Simulator and Device)?,107,"ios, xcode, cocoa-touch, frameworks, ios-universal-framework"
Swift equivalent of Java toString(),107,"ios, swift, string, tostring, customstringconvertible"
Should I git ignore xcodeproject/project.pbxproj file?,107,"ios, xcode, macos, git"
Dismiss keyboard by touching background of UITableView,106,"ios, uitableview, uikeyboard"
How to convert a UIView to an image,106,"ios, swift, uiview, screenshot"
iOS change navigation bar title font and color,106,"ios, fonts, ios7, navigationbar"
How to present UIActionSheet iOS Swift?,106,"ios, swift, uiactionsheet"
How to attach debugger to iOS app after launch?,106,"ios, xcode, debugging"
Writing handler for UIAlertAction,106,"ios, uialertview, swift, uialertcontroller"
Initializer is inaccessable due to 'internal' protection level,106,"ios, swift, frameworks, access-modifiers, initializer"
Open Url in default web browser,106,"android, ios, react-native"
The selected run destination is not valid for this action,106,"xcode, ios, target"
Detect the specific iPhone/iPod touch model [duplicate],106,"iphone, objective-c, ios, p2p, device"
Stripping out HTML tags from a string,106,"html, ios, swift"
Is it possible to use AutoLayout with UITableView's tableHeaderView?,106,"iphone, ios, ipad, uitableview, autolayout"
CALayers didn't get resized on its UIView's bounds change. Why?,106,"iphone, ios, objective-c, uiview, calayer"
Android equivalent of NSUserDefaults in iOS,106,"android, ios, nsuserdefaults, code-translation"
How to access iOS simulator camera [duplicate],106,"ios, ios-simulator, ios-camera"
"How to build a framework or library for other developers, the secure way? [closed]",106,"iphone, ipad, frameworks, ios"
iOS Safari – How to disable overscroll but allow scrollable divs to scroll normally?,106,"jquery, ios, ipad, safari, mobile-website"
How to Increase Line spacing in UILabel in Swift,105,"ios, swift, uilabel, line-spacing"
How to set the custom border color of UIView programmatically?,105,"ios, swift"
Xcode 6 - Launch simulator from command line,105,"ios, xcode, ios-simulator, xcode6"
How to get the filename from the filepath in swift,105,"ios, iphone, swift"
What are the differences between a UIView and a CALayer?,105,"ios, uiview, uikit, calayer"
UITextField - capture return button event,105,"ios, iphone, cocoa-touch, uitextfield, backspace"
presentViewController and displaying navigation bar,105,"ios, iphone, uiviewcontroller, modalviewcontroller, presentmodalviewcontroller"
NSLayoutConstraint crashes ViewController [duplicate],105,"ios, nslayoutconstraint"
Is there a UIView resize event?,105,"iphone, ipad, ios"
How to make an HTTP request + basic auth in Swift,105,"ios, swift"
Get Selected index of UITableView,105,"ios, objective-c, iphone, uitableview, nsindexpath"
How can I determine if my React Native app is a debug or release build from JavaScript code?,105,"javascript, ios, react-native"
“Application tried to present modally an active controller”?,105,"objective-c, ios, ios5"
How to Resize image in Swift?,104,"ios, swift, uiimage"
How to dismiss an AlertDialog on a FlatButton click?,104,"android, ios, flutter, flutter-alertdialog"
dismissModalViewControllerAnimated deprecated,104,"ios, ios6"
How can I mask a UIImageView?,104,"ios, objective-c, uiimage, mask"
Creating and playing a sound in swift,104,"ios, objective-c, audio, swift"
Missing CFBundleIconName in Xcode9 iOS11 app release,104,"ios, xcode, app-store-connect, ios11, xcode9"
What is the correct way to add date picker in flutter app?,104,"android, ios, flutter, flutter-layout, dart-2"
iOS JavaScript bridge,104,"javascript, ios, html, uiwebview"
Make REST API call in Swift,104,"ios, swift, rest, http, restapi"
How to use Facebook iOS SDK on iOS 10,104,"ios, swift, facebook-ios-sdk, ios10"
Auto layout constraints issue on iOS7 in UITableViewCell,104,"ios, ios7, uitableview, autolayout, nslayoutconstraint"
Differences between arm64 and aarch64,104,"android, ios, gcc, arm, arm64"
Build an iOS app without owning a mac? [closed],104,"ios, iphone"
TestFight beta testing for internal testers - Build state is “processing”,104,"ios, app-store-connect, testflight, beta-testing"
Xcode Error on Simulator: MGIsDeviceOneOfType is not supported on this platform,104,"ios, swift, xcode"
Xcode can only refactor C and Objective-C code. How to rename swift class name in Xcode 6?,104,"ios, swift, xcode, xcode6, xcode9"
Custom Font Sizing in Xcode 6 Size Classes not working properly with Custom Fonts,104,"ios, interface-builder, ios8, xcode6, size-classes"
iOS 8.1 Simulator Localization broken (NSLocalizedString),104,"ios, xcode, ios-simulator, nslocalizedstring, xcode6.1"
Is there a way to pretty print Swift dictionaries to the console?,103,"ios, swift, xcode"
How to center align the cells of a UICollectionView?,103,"ios, uicollectionview"
Reading ePub format,103,"ios, iphone, epub"
Determine if the access to photo library is set or not - PHPhotoLibrary,103,"ios, ios8, phphotolibrary"
back button callback in navigationController in iOS,103,"ios, callback, uinavigationcontroller, uinavigationitem, back"
How to align text input correctly in react native?,103,"javascript, ios, reactjs, react-native"
Status bar height in Swift,103,"ios, swift, statusbar"
Changing UIButton text,103,"objective-c, ios, xcode, event-handling, uibutton"
How to set top-left alignment for UILabel for iOS application?,103,"iphone, ios, label, uilabel, text-alignment"
How to calculate time in hours between two dates in iOS,103,"iphone, ios"
Blocks on Swift (animateWithDuration:animations:completion:),103,"ios, swift, closures"
Objective-C: Where to remove observer for NSNotification?,103,"objective-c, ios, nsnotifications"
iPhone/iOS JSON parsing tutorial [closed],103,"iphone, objective-c, ios, json, uitableview"
SecItemAdd always returns error -34018 in Xcode 8 in iOS 10 simulator,103,"ios, xcode, ios10, xcode8"
Xcode 4 and Core Data: How to enable SQL Debugging,103,"sql, ios, core-data, xcode4"
Xcode 8.2 simulator crash when save screen shot,103,"ios, xcode"
what's the purpose of double question mark in swift [duplicate],103,"ios, swift"
New build disappears after uploading it to iTunes Connect,103,"ios, app-store-connect, xcode8"
When should I release objects in -(void)viewDidUnload rather than in -dealloc?,103,"iphone, objective-c, ios, cocoa-touch, memory-management"
UIImagePickerController error: Snapshotting a view that has not been rendered results in an empty snapshot in iOS 7,103,"ios, iphone, ios7, camera, uiimagepickercontroller"
iOS 13 disable Dark Mode changes [duplicate],103,"ios, ios13, ios-darkmode"
How do I force a UITextView to scroll to the top every time I change the text?,102,"iphone, ios, uitextview"
Handling Touch Event in UILabel and hooking it up to an IBAction,102,"ios, iphone, uilabel, interface-builder, touch-event"
iOS Build Failed at compile time with issue “failed to find a suitable device for the type SimDeviceType”,102,"ios, xcode, compilation"
“The run destination iOS Device is not valid for running the scheme”,102,"ios, xcode"
targetContentOffsetForProposedContentOffset:withScrollingVelocity without subclassing UICollectionViewFlowLayout,102,"iphone, ios, uicollectionview"
iOS 10 error [access] <private> when using UIImagePickerController,102,"ios, objective-c, uiimagepickercontroller, presentviewcontroller, ios10"
Custom fonts in iOS 7,102,"ios, iphone, fonts"
Set UILabel line spacing,102,"ios, objective-c, uilabel, multiline, line-spacing"
UITableView load more when scrolling to bottom like Facebook application,102,"ios, iphone, uitableview, pagination"
How to compare two strings ignoring case in Swift language?,102,"ios, swift, string"
How to get RGB values from UIColor?,102,"ios, rgb, uicolor"
Xcode 5 & Asset Catalog: How to reference the LaunchImage?,102,"ios, xcode, ios7, xcode5, asset-catalog"
Swift Modal View Controller with transparent background [duplicate],102,"ios, swift, swift2, modalviewcontroller, swift2.1"
How to stop Firebase from logging status updates when app is launched,102,"ios, iphone, firebase"
Dynamic cell width of UICollectionView depending on label width,102,"ios, objective-c, swift, uicollectionview, uicollectionviewcell"
iOS 7 TableView like in Settings App on iPad,102,"ios, objective-c, ipad, uitableview, ios7"
canOpenUrl - This app is not allowed to query for scheme instragram,102,"ios, info-plist"
Change bundle identifier in Xcode when submitting my first app in IOS,102,"ios, xcode"
What does addChildViewController actually do?,102,"ios, uiviewcontroller, uicontainerview"
Unexpected CFBundleExecutable key,102,"ios, app-store-connect, cocoapods, ios9, xcode7-beta5"
How can I debug 'unrecognized selector sent to instance' error,102,"ios, swift, uitableview"
Layout issues after updating to Xcode 8,102,"ios, xcode, autolayout, xcode8, ios10"
Swift Programming: getter/setter in stored property,102,"ios, swift"
Speed up fetching posts for my social network app by using query instead of observing a single event repeatedly,102,"ios, swift, firebase"
LaunchScreen.xib not displaying my custom font,102,"ios, xcode"
Attributed string with custom fonts in storyboard does not load correctly,102,"ios, swift, ios8, xcode6, nsattributedstring"
FMDBBlockSQLiteCallBackFunction Crash in app that's not using makeFunctionNamed,102,"ios, sqlite, fmdb"
How to know when UITableView did scroll to bottom in iPhone,101,"ios, uitableview, scroll"
Getting version and build information with Swift,101,"ios, swift, objective-c, nsbundle"
HTML5 Video autoplay on iPhone,101,"ios, html, video, webkit, autoplay"
Find out if Character in String is emoji?,101,"ios, string, swift, character, emoji"
UITapGestureRecognizer tap on self.view but ignore subviews,101,"ios, uitapgesturerecognizer"
UITableView row animation duration and completion callback,101,"ios, iphone, uitableview, animation, cocoa-touch"
Could not find a valid GoogleService-Info.plist in your project,101,"ios, swift, firebase, firebase-authentication"
navigation bar rightbaritem image-button bug iOS 11,101,"ios, swift, ios11, xcode9-beta, swift4"
LLDB (Swift): Casting Raw Address into Usable Type,101,"ios, swift, lldb"
UIFont - how to get system thin font,101,"ios, objective-c, swift, uikit, uifont"
How to get UITableView from UITableViewCell?,101,"iphone, ios, objective-c, xcode, tableview"
Swift 3 - Comparing Date objects,101,"ios, xcode, swift3, beta"
Click Event on UIImageView programmatically in ios,101,"iphone, ios, uiimageview, uitouch, uitapgesturerecognizer"
Xcode 4.4 error - Timed out waiting for app to launch,101,"iphone, ios, xcode4.4"
UIStackView “Unable to simultaneously satisfy constraints” on “squished” hidden views,101,"ios, autolayout, uikit, ios9, uistackview"
Autolayout is ignored in Custom UITableViewCell,101,"ios, swift, uitableview"
Making an array of integers in iOS,101,"ios, objective-c"
Best way to check if UITableViewCell is completely visible,101,"ios, uitableview, visible"
How to add a footer to a UITableView in Storyboard,101,"ios, ios5, uitableview, storyboard"
Use didSelectRowAtIndexPath or prepareForSegue method for UITableView?,101,"ios, objective-c, iphone, uitableview, storyboard"
How to re-send external tester invitations on Apple's TestFlight service [closed],101,"ios, app-store-connect, testflight"
Implementing Fast and Efficient Core Data Import on iOS 5,101,"ios, core-data, nsfetchedresultscontroller, nsmanagedobjectcontext"
SwiftUI - how to avoid navigation hardcoded into the view?,101,"ios, swift, xcode, swiftui, swiftui-navigationlink"
Hide tab bar in IOS swift app,100,"ios, swift"
scale Image in an UIButton to AspectFit?,100,"ios, objective-c, cocoa-touch, uibutton, uikit"
Swift - How to remove a decimal from a float if the decimal is equal to 0?,100,"ios, swift, floating-point"
CollectionView sizeForItemAtIndexPath never called,100,ios
Request Permission for Camera and Library in iOS 10 - Info.plist,100,"ios, swift, wkwebview"
What size should TabBar images be?,100,"ios, objective-c, uitabbarcontroller, uitabbar, uitabbaritem"
How to group by the elements of an array in Swift,100,"ios, arrays, swift, nsarray"
Swift - UIButton with two lines of text,100,"ios, swift, uibutton"
Profile doesn't match the entitlements file's value for the application-identifier entitlement,100,"ios, xcode, code-signing, entitlements, xcarchive"
What is NSZombie?,100,"ios, iphone, objective-c, nszombie"
xcode/storyboard: can't drag bar button to toolbar at top,100,"ios, xcode, navigation, uibarbuttonitem"
How to prevent UINavigationBar from covering top of view in iOS 7?,100,"ios, objective-c, ios7, uinavigationbar, uistatusbar"
Change UICollectionViewCell size on different device orientations,100,"ios, uicollectionview, uicollectionviewcell"
“Cannot connect to iTunes Store” in-app purchases,100,"ios, cocoa-touch, in-app-purchase"
When to use UICollectionView instead of UITableView?,100,"ios, objective-c, uitableview, uicollectionview"
Simulate force touch / 3D touch on iPhone 6S or iPhone 6S Plus simulators,100,"ios, ios-simulator, xcode7"
Xcode “The private key for is not installed on this mac - distributing”,100,"ios, xcode, app-store"
iOS 6: How do I restrict some views to portrait and allow others to rotate?,100,"ios, iphone, ios6, autorotate"
Xcode stuck at “Your application is being uploaded”,100,"ios, iphone, xcode, app-store"
Can I change the size of UIActivityIndicator?,99,"ios, iphone, swift, uiactivityindicatorview"
IOS: create a UIImage or UIImageView with rounded corners,99,"objective-c, ios, uiimage, rounded-corners"
Use multiple font colors in a single label,99,"ios, swift, uilabel, nsattributedstring, textcolor"
Removing object from array in Swift 3,99,"ios, arrays, swift, swift3"
Is there any way to hide “-” (Delete) button while editing UITableView,99,"ios, iphone, uitableview, cocoa"
Check if a subview is in a view,99,"ios, cocoa-touch, uiview, uikit"
Changing the status bar text color in splash screen iOS 7,99,"ios, ios7, splash-screen, statusbar, uistatusbar"
iPhone OS: How do I create an NSDate for a specific date?,99,"ios, cocoa-touch, nsdate, nsdateformatter, nscalendar"
How to add TextField to UIAlertController in Swift,99,"ios, swift, uitextfield, uialertcontroller"
How to use SCNetworkReachability in Swift,99,"ios, c, struct, swift, reachability"
Is there a quicker / better way to clear the iPhone Simulator cache than deleting its directory?,99,"ios, iphone, xcode, ios-simulator"
What are the sizes used for the iOS application splash screen?,99,"iphone, ios, ipad, splash-screen, ipod-touch"
Alamofire invalid value around character 0,99,"ios, swift, alamofire"
NSDictionary - Need to check whether dictionary contains key-value pair or not,99,"ios, objective-c, nsdictionary"
Controlling the screenshot in the iOS 7 multitasking switcher,99,"ios, ios7"
"iPhone app in landscape mode, 2008 systems",99,"ios, objective-c, landscape"
"In Swift, how can I declare a variable of a specific type that conforms to one or more protocols?",99,"ios, objective-c, swift, swift-protocols"
How to handle image scale on all the available iPhone resolutions?,99,"ios, iphone, screen-resolution, iphone-6, iphone-6-plus"
GMSGroundOverlay animating - should I be using a CATiledLayer?,99,"ios, crash, overlay, google-maps-sdk-ios, catiledlayer"
Getting the current page,98,"ios, objective-c, iphone, cocoa-touch, uiscrollview"
Removing viewcontrollers from navigation stack,98,"iphone, ios, uiviewcontroller, uinavigationcontroller"
How to detect when keyboard is shown and hidden,98,"ios, iphone, iphone-sdk-3.0"
Xcode keeps asking for password to use the System Keychain,98,"objective-c, ios, xcode"
Comparing two CGRects,98,"ios, objective-c, cocoa-touch, comparison, cgrect"
Adding a UILabel to a UIToolbar,98,"ios, iphone, uibarbuttonitem"
Setting UILabel text to bold [duplicate],98,"ios, swift, uilabel"
iPhone system font,98,"ios, iphone, fonts, typeface"
Can't launch my app in Instruments: At least one target failed to launch,98,"iphone, ios, xcode, instruments"
